Class Prefix,Class Number,Class Name,Hours,Availibility ,Type
CSC,114,Introduction to Computer Science,3,S/F,CC
CSC,115,Programming I,3,S/F,CC
CSC,160,Computer Science Major Orientation Seminar,1,S/F,CC
CSC,215,Programming II,3,S/F,CC
CSC,218,Data Structures,3,S/F,CC
CSC,230,Object-Oriented Programming,3,S/F,CC
CSC,260,Sophomore Seminar in Computer Science,1,S/F,CC
CSC,314,Computer Architecture,3,S/F,CC
CSC,325,Database and Intelligent Systems,3,S/F,CC
CSC,335,Introduction to Web Design,3,S/F,CC
CSC,401,Data Mining & Machine Learning,3,S/F,CC
CSC,410,Net-Centric Computing,3,S/F,CC
CSC,460,Senior Seminar in Computer Science,2,S/F,CC
CSC,240,Introduction to Cybersecurity,3,S/F,CE
CSC,300,Introdution to Mobile Robotics,3,S/F,CE
CSC,305,Introduction to Bioinformatics,3,S/F,CE
CSC,315,Programming Languages,3,S/F,CE
CSC,318,Algorithms,3,S/F,CE
CSC,322,UNIX Administration & System Programming,3,S/F,CE
CSC,414,Python Visualization,3,S/F,CE
CSC,409,Artificial Intelligence,3,S/F,CE
CSC,412,Software Methodology & Engineering,3,S/F,CE
CSC,413,System Analysis & Design,3,S/F,CE
CSC,415,Computer Graphics,3,S/F,CE
CSC,420,Operating System,3,S/F,CE
CSC,421,Special Topics in Computer Science,3,S/F,CE
CSC,430,Undergraduate Research in Computer Science,3,S/F,CE
CSC,435,Advanced Web Design,3,S/F,CE
CSC,451,Numerical & Symbolic Computing,3,S/F,CE
CSC,452,Internship,3,S/F,CE
MATH,360,Introduction to Cryptography & Data Security,,S/F,CE
MATH,410,Linear Optimization,3,S/F,CE
MATH,165,Calculus I,4,S/F,RAR
MATH,262,Discrete Methods,3,S/F,RAR
MATH,351,Linear Algebra,3,S/F,RAR
BUAD,115,Introduction to Business,3,S/F,CR
BUAD,190,Management Information Systems I,3,S/F,CR
ACCT,210,Financial Accounting,3,S/F,CR
MNGT,221,Principles of Management,3,S/F,CR
BMIS,380,Management Information Systems II,3,S/F,CR
BMIS,386,MIS System Analysis,3,S/F,CR
BMIS,485,Decision Support Systems,3,S/F,CR
BMIS,489,IS Project Management,3,S/F,CR
