Class Prefix,Class Number,Class Name,Hours,Availibility 
CSC,114,Introduction to Computer Science,3,
CSC,115,Programming I,3,
CSC,160,Computer Science Major Orientation Seminar,1,
CSC,215,Programming II,3,
CSC,218,Data Structures,3,
CSC,230,Object-Oriented Programming,3,
CSC,260,Sophomore Seminar in Computer Science,1,
CSC,314,Computer Architecture,3,
CSC,325,Database and Intelligent Systems,3,
CSC,335,Introduction to Web Design,3,
CSC,401,Data Mining & Machine Learning,3,
CSC,410,Net-Centric Computing,3,
CSC,460,Senior Seminar in Computer Science,2,
CSC,240,Introduction to Cybersecurity,3,
CSC,300,Introdution to Mobile Robotics,3,
CSC,305,Introduction to Bioinformatics,3,
CSC,315,Programming Languages,3,
CSC,318,Algorithms,3,
CSC,322,UNIX Administration & System Programming,3,
CSC,414,Python Visualization,3,
CSC,409,Artificial Intelligence,3,
CSC,412,Software Methodology & Engineering,3,
CSC,413,System Analysis & Design,3,
CSC,415,Computer Graphics,3,
CSC,420,Operating System,3,
CSC,421,Special Topics in Computer Science,3,
CSC,430,Undergraduate Research in Computer Science,3,
CSC,435,Advanced Web Design,3,
CSC,451,Numerical & Symbolic Computing,3,
CSC,452,Internship,3,
MATH,360,Introduction to Cryptography & Data Security,,
MATH,410,Linear Optimization,3,
MATH,165,Calculus I,4,
MATH,262,Discrete Methods,3,
MATH,351,Linear Algebra,3,
BUAD,115,Introduction to Business,3,
BUAD,190,Management Information Systems I,3,
ACCT,210,Financial Accounting,3,
MNGT,221,Principles of Management,3,
BMIS,380,Management Information Systems II,3,
BMIS,386,MIS System Analysis,3,
BMIS,485,Decision Support Systems,3,
BMIS,489,IS Project Management,3,
